iteration	posterior	likelihood	prior	node_index	branch_start_time	branch_end_time	start_state	end_state	transition_time	transition_type	parent_index	child1_index	child2_index
100000	-1009.06	-1003.89	-5.1733	34	22.3855	7.8913	0000000000000002200000100	0000000000000002200000000	19.5053	anagenetic	66	33	32
100000	-1009.06	-1003.89	-5.1733	34	22.3855	7.8913	0000000000000002200000000	0000000000000001200000000	15.5293	anagenetic	66	33	32
100000	-1009.06	-1003.89	-5.1733	34	22.3855	7.8913	0000000000000001200000000	0000000000000002200000000	15.2579	anagenetic	66	33	32
100000	-1009.06	-1003.89	-5.1733	34	22.3855	7.8913	0000000000000002200000000	0000000000000002200001000	9.50446	anagenetic	66	33	32
100000	-1009.06	-1003.89	-5.1733	34	22.3855	7.8913	0000000000000002200001000	0000000000000002200000000	8.55137	anagenetic	66	33	32
100000	-1009.06	-1003.89	-5.1733	33	7.8913	0	0000000000000002200000000	0000000000000002200000100	4.46355	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	33	7.8913	0	0000000000000002200000100	0000000000000002200000000	3.2183	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	33	7.8913	0	0000000000000002200000000	0000000000000002100000000	2.09648	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	33	7.8913	0	0000000000000002100000000	0000000000000002200000000	1.92153	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	33	7.8913	0	0000000000000002200000000	0000000000000002100000000	1.57183	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	33	7.8913	0	0000000000000002100000000	0000000000000002200000000	0.887661	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000000002200000000	0000000000000002100000000	6.52662	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000000002100000000	0000000000000002200000000	6.50317	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000000002200000000	0000000000000001200000000	6.13127	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000000001200000000	0000000000000002200000000	6.11048	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000000002200000000	0000000000010002200000000	4.75114	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000010002200000000	0000000000020002200000000	3.35516	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000020002200000000	0000000000010002200000000	2.79747	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000010002200000000	0000000000000002200000000	2.44207	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000000002200000000	0000000000000002100000000	2.42871	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	32	7.8913	0	0000000000000002100000000	0000000000000002200000000	2.22442	anagenetic	34	NA	NA
100000	-1009.06	-1003.89	-5.1733	65	22.3855	20.9299	0000000000000001200000200	0000000000000000200000200	21.6983	anagenetic	66	44	64
100000	-1009.06	-1003.89	-5.1733	44	20.9299	13.7733	0000000000000000200000200	0000000000000000201000200	20.2668	anagenetic	65	31	43
100000	-1009.06	-1003.89	-5.1733	44	20.9299	13.7733	0000000000000000201000200	0000000000000000200000200	19.4463	anagenetic	65	31	43
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200000200	0000000000000000200000100	10.2714	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200000100	0000000000000000200000200	10.1993	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200000200	0000000000000000200010200	10.0623	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200010200	0000000000000000200000200	9.97577	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200000200	0000000000000000100000200	9.41594	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000100000200	0000000000000000200000200	8.87753	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200000200	0000000000000000200000100	7.17278	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200000100	0000000000000000200000200	6.72826	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200000200	0000000000000000100000200	1.5951	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000100000200	0000000000000000200000200	1.22112	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200000200	0000000000000000200000100	1.08195	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	31	13.7733	0	0000000000000000200000100	0000000000000000200000000	0.616919	anagenetic	44	NA	NA
100000	-1009.06	-1003.89	-5.1733	43	13.7733	12.8809	0000000000000000200000200	0000000000000000200000201	13.5303	anagenetic	44	30	42
100000	-1009.06	-1003.89	-5.1733	43	13.7733	12.8809	0000000000000000200000201	0000000000000010200000201	13.1971	anagenetic	44	30	42
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000010200000201	0000000000000010200000200	12.7621	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000010200000200	0000000000000000200000200	12.5111	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200000200	0000000000000000200001200	10.7652	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200001200	0000000000000000200101200	10.1083	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200101200	0000000000000000200100200	9.78137	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200100200	0000000000000000200200200	9.47628	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200200200	0000000000000000200100200	9.2281	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200100200	0000000000000000200100100	9.05788	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200100100	0000000000000000200110100	8.08946	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200110100	0001000000000000200110100	8.03407	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0001000000000000200110100	0001000000000000200110000	7.55998	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0001000000000000200110000	0000000000000000200110000	7.4064	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200110000	0000000000000000200210000	6.36899	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200210000	0000000000000000200200000	5.8152	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200200000	0000000000000000200100000	4.46647	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200100000	0000000000000000200200000	4.30611	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200200000	0000000000000000200201000	1.69499	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	30	12.8809	0	0000000000000000200201000	0000000000000000200200000	0.0234233	anagenetic	43	NA	NA
100000	-1009.06	-1003.89	-5.1733	42	12.8809	11.9433	0000000000000010200000201	0000000000000010200000202	12.4635	anagenetic	43	35	41
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000000000000010200000202	0000001000000010200000202	11.7347	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000001000000010200000202	0000001000000000200000202	11.3704	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000001000000000200000202	0000001000000000200000102	11.36	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000001000000000200000102	0000001000000000200000202	11.306	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000001000000000200000202	0000000000000000200000202	9.36403	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000000000000000200000202	0000000000000000200000212	7.97302	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000000000000000200000212	0000000000000000200010212	7.64547	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000000000000000200010212	0000000000000000200010202	7.13984	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000000000000000200010202	0000000100000000200010202	6.00719	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000000100000000200010202	0000000000000000200010202	5.17003	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000000000000000200010202	0000000000000000200000202	4.6294	anagenetic	42	29	28
100000	-1009.06	-1003.89	-5.1733	35	11.9433	3.76312	0000000000000000200000202	0000000000000000200000201	4.53337	anagenetic	42	29	28
